station,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Байкальск,Иркутская область,9.4,11,11,9.5,10.7,10.3,8.7,8.1,8.4,8.2,8.7,8.9
Бодайбо,Иркутская область,7.8,11,15.1,12.7,13.6,15.4,14.4,12.9,10.2,7.5,8,7.5
Братск,Иркутская область,8.8,11.3,13.4,11.1,12.4,12.7,11.6,10.8,9.8,7.8,7.7,8.1
Верхне-Марково,Иркутская область,11.1,14.7,18.5,14.2,14.4,15.6,14.2,13.1,11.5,9.2,10.3,10.5
Ербогачен,Иркутская область,11,14.9,18,15,12.8,14.9,14.7,13.9,11.3,9,11.1,10.3
Ершово,Иркутская область,8.7,11.1,12.4,11.2,12.7,13.3,11.6,10.8,9.6,7.3,7.3,8.2
Жигалово,Иркутская область,11.1,15.4,18.5,14.4,16.7,16.9,14.7,13.7,13,11,10.5,10.4
Зима,Иркутская область,11.2,14,14,11.9,14.6,14.4,12.9,12.6,12.5,10.8,10.3,10.2
Ика,Иркутская область,12.9,17.1,20,16.1,14.4,16.2,15.5,14.7,12.6,10.1,11.9,11.6
Иркутск,Иркутская область,10,12.7,13.8,12.7,14.7,14.7,13,12.5,12.5,11.3,10.2,9.5
Киренск,Иркутская область,11.4,14.5,18.1,13.9,14,14.8,13.2,12.4,10.9,8.6,10.4,10.6
Мама,Иркутская область,7.4,10.6,14.7,12.6,13.3,15.3,14,12.2,9.7,7,7.4,7
Наканно,Иркутская область,10.7,13.8,16.9,14.8,12,14.4,14.9,13.7,10.8,8.6,10.6,10.2
Непа,Иркутская область,10.5,14.1,17,14.2,13.7,15.2,14.2,13.4,11.6,9,10.5,9.9
Орлинга,Иркутская область,10.7,14.8,18.8,15,15.3,16.1,14.4,13.2,11.9,9.3,9.5,9.7
Перевоз,Иркутская область,9.3,12.8,16.4,13.8,14.2,16.3,15.3,14.3,12,9.5,9.4,8.8
Преображенка,Иркутская область,11.3,15.2,18.5,15.1,13,14.7,14.3,13.6,11.5,8.9,10.9,10.6
Тайшет,Иркутская область,10.1,11.9,12.5,10.8,13.1,13.8,12.9,12.2,11.4,9.1,8.7,9.3
Тулун,Иркутская область,10.6,12.8,13.5,12.1,14.6,14.3,12.9,12.4,12.2,10.4,9.8,9.6
Усть-Ордынский,Иркутская область,10.9,13.4,15,14.3,16.9,15.6,13.6,13.5,14,13.1,11.7,10.7
Чечуйск,Иркутская область,10.1,11.9,15.3,13.1,13.5,15.1,13.8,12.8,10.8,8.3,9.2,9.5
Нальчик,Кабардино-Балкарская Республика,7.2,7.3,8.3,10.5,10.5,10.6,10.7,10.9,10.1,9,7.3,7
Калининград,Калининградская область,4.9,5.4,6.9,9.1,10.4,9.8,9.2,9.4,8.5,6.8,4.5,4.4
Элиста,Республика Калмыкия,5.7,6.4,8,11.2,12.5,12.6,12.9,13.2,12.1,9.7,6.6,5.3
