station,subject,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,year
Тисуль,Кемеровская область,1.6,1.7,2.8,4.6,7,12.1,15.4,13.2,8.6,5.3,3,1.9,6.4
Топки,Кемеровская область,1.6,1.7,2.8,4.6,7.1,12.1,15.2,13.1,8.7,5.5,3.1,1.9,6.5
Усть-Кабырза,Кемеровская область,1.3,1.7,2.9,4.9,7.9,12.5,15.2,13.5,8.9,5.7,3.2,1.7,6.6
Кильмезь,Кировская область,2.3,2.4,3.5,5.7,8.3,12.6,15.2,13.6,10,6.5,4.2,2.9,7.3
Киров,Кировская область,2.3,2.3,3.4,5.3,8,11.9,14.5,13.3,9.7,6.3,4.1,2.7,7
Нагорское,Кировская область,2.2,2.3,3.4,5.2,7.8,11.8,14.5,12.9,9.5,6.1,3.9,2.7,6.9
Вендинга,Республика Коми,2,2.2,3.2,4.4,6.4,9.9,12.9,11.8,8.9,5.9,3.7,2.6,6.1
Воркута,Республика Коми,1.3,1.4,2.1,2.9,4.4,7.6,10.9,9.8,7.2,4.3,2.4,1.8,4.7
Объячево,Республика Коми,2.2,2.4,3.4,4.9,7.4,11.3,14.3,12.8,9.4,6.1,4,2.7,6.7
Петрунь,Республика Коми,1.4,1.5,2.4,3.3,5,8.4,11.9,10.5,7.8,4.8,2.7,2,5.2
Печора,Республика Коми,1.6,1.7,2.8,3.8,5.5,9.1,12.4,11.1,8.3,5.2,3.1,2.1,5.5
Сыктывкар,Республика Коми,2,2.3,3.4,4.9,7.1,11,14.2,12.6,9.3,6,3.8,2.7,6.6
Троицко-Печорск,Республика Коми,1.7,1.9,3,4.3,6.2,10.2,13.5,11.8,8.6,5.4,3.3,2.3,6
Усть-Уса,Республика Коми,1.6,1.7,2.7,3.7,5.3,8.7,12.1,10.8,8.2,5.1,3.1,2.2,5.4
Усть-Цильма,Республика Коми,1.8,1.9,2.9,3.9,5.7,9.1,12.6,11.3,8.4,5.4,3.3,2.4,5.7
Усть-Щугор,Республика Коми,1.5,1.8,2.8,3.9,5.7,9.3,12.8,11.2,8.2,5.2,3,2,5.6
Ухта,Республика Коми,1.7,2,2.9,4.1,6,9.6,12.8,11.4,8.5,5.4,3.3,2.3,5.9
Кострома,Костромская область,2.9,2.9,3.9,5.9,8.9,12.8,15.4,14.1,10.4,7.1,4.8,3.5,7.7
Чухлома,Костромская область,2.6,2.8,3.7,5.5,8.4,12.4,14.9,13.6,10,6.7,4.5,3.2,7.4
Шарья,Костромская область,2.5,2.6,3.6,5.5,8.2,12.2,14.9,13.4,9.8,6.6,4.4,3.1,7.3
Красная Поляна,Краснодарский край,5.5,5.6,6.4,8.5,12,15.2,18.1,18.1,14.4,10.9,7.7,6.2,10.7
Краснодар,Краснодарский край,5.2,5.3,6.6,9.2,12.9,16.4,18.1,17.3,14,10.5,7.9,6.2,10.8
Приморско-Ахтарск,Краснодарский край,5,5.1,6.5,9.5,13.7,17.7,19.7,18.5,14.6,10.5,7.7,5.9,11.2
Сочи,Краснодарский край,6.8,6.8,7.8,10.3,14.4,18.6,22.2,22.4,17.7,13.5,9.7,7.7,13.2
Тихорецк,Краснодарский край,4.7,4.8,6.1,8.6,12.2,15.7,16.8,15.7,12.8,9.7,7.4,5.7,10
Агата,Красноярский край,0.4,0.5,1.2,2.2,3.9,7.2,10.9,10,6.4,3.1,1.1,0.6,3.9
Ачинск,Красноярский край,1.6,1.7,2.7,4.3,6.4,11.4,14.7,12.9,8.5,5.1,2.9,1.9,6.2
Байкит,Красноярский край,0.6,0.8,1.8,3.1,5.1,9.7,13,11.3,7.1,3.9,1.6,0.8,4.9
Боготол,Красноярский край,1.5,1.6,2.7,4.2,6.7,11.4,14.8,12.7,8.3,5.1,2.9,1.8,6.1
Богучаны,Красноярский край,1,1.2,2.3,3.9,6.1,11,14.3,12.5,8.1,4.7,2.4,1.3,5.7
Ванавара,Красноярский край,0.7,0.9,1.8,3.1,5.3,9.9,12.9,11.3,7,3.9,1.7,0.9,5
Вельмо,Красноярский край,0.8,1,2,3.4,5.5,10.3,14,12,7.8,4.3,1.9,1,5.3
Верхнеимбатск,Красноярский край,1,1.2,2.2,3.2,5.1,9.9,13.7,12,7.9,4.4,2,1.3,5.3
