location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Петрунь,Республика Коми,-20,-18.7,-11.6,-6.5,0.8,9.6,14.6,10.8,5.6,-2.6,-11.5,-16,-3.8
Печора,Республика Коми,-19.3,-17.3,-9,-2.8,4,11.9,16,12.1,6.7,-1.1,-9.8,-15.2,-2
Сыктывкар,Республика Коми,-15.1,-12.9,-5.4,1.7,8.5,14.4,17.3,13.9,8.1,1.1,-6.2,-11.7,1.1
Троицко-Печорское,Республика Коми,-17.9,-15.7,-7,-0.1,6.5,13.1,16.4,12.7,7,-0.4,-8.4,-14.3,-0.7
Усть-Уса,Республика Коми,-18.8,-17.4,-9.7,-4.2,2.4,10.4,14.9,11.2,6.1,-1.7,-10,-15,-2.7
Усть-Цильма,Республика Коми,-17.5,-15.6,-8.1,-2.3,4.2,11.3,15.4,11.9,6.6,-0.7,-8.5,-13.5,-1.4
Усть-Щугор,Республика Коми,-19.9,-17.9,-9.2,-2.5,4.4,12.2,16.1,12.1,6.6,-1.1,-10,-15.7,-2.1
Ухта,Республика Коми,-17.2,-14.9,-7,-0.4,6.2,12.8,16.3,12.6,7,-0.4,-8.2,-13.6,-0.6
Кострома,Костромская область,-10.5,-9.3,-3.3,4.7,12,16,18.4,16.2,10.3,3.8,-2.6,-7.6,4
Чухлома,Костромская область,-12,-10.3,-3.9,3.6,10.9,15.2,17.7,15.2,9.5,3.1,-3.6,-8.9,3
Шарья,Костромская область,-12.1,-10.5,-4.1,3.9,11.1,15.5,17.8,15.3,9.4,2.9,-3.8,-9.3,3
Красная Поляна,Краснодарский край,0.8,1.9,4.9,10.1,14.3,17.5,20.3,20.2,16.1,11.3,6.4,2.3,10.5
Краснодар,Краснодарский край,0,1.1,5.6,12.3,17.6,21.4,24.1,23.7,18.6,12,6.4,2.3,12.1
Приморско-Ахтарск,Краснодарский край,-1.4,-0.6,4.2,11.6,17.6,21.9,24.6,23.9,18.4,11.5,5.4,1.1,11.5
Сочи,Краснодарский край,6.1,6.4,8.4,12.3,16.4,20.3,23.2,23.6,20,15.6,11.4,8,14.3
Тихорецк,Краснодарский край,-2.1,-1,4.1,11.7,17.2,21,23.7,23.2,17.8,11,4.9,0.4,11
Агата,Красноярский край,-34.7,-32,-21.2,-10.8,-1.1,8.6,14.1,10.8,3.8,-7.4,-24.3,-31.1,-10.4
Ачинск,Красноярский край,-16.1,-13.9,-6.3,1.9,9.5,16.3,18.7,15.6,9.2,1.5,-7.8,-13.6,1.2
Байкит,Красноярский край,-30.5,-25.7,-13.4,-3.6,4.4,13.6,17.1,12.9,5.3,-4.8,-19.4,-28,-6
Боготол,Красноярский край,-16.9,-15,-7.2,1.2,9,15.4,17.8,14.7,8.5,1,-8.4,-14.4,0.5
Богучаны,Красноярский край,-23.8,-21.1,-10.2,0.1,7.9,16,19,15.3,8,-0.4,-11.5,-20.9,-1.8
Ванавара,Красноярский край,-29.3,-25.6,-14.1,-3.2,5.9,14.6,17.7,13.6,5.5,-4.4,-18.5,-27.2,-5.4
Вельмо,Красноярский край,-27.6,-24,-13.1,-3.4,4.9,13.5,17.3,13.1,6,-3.5,-17.1,-24.9,-4.9
Верхнеимбатск,Красноярский край,-24.9,-21.7,-12.2,-4.2,3.4,13.5,17.6,13.5,6.5,-3.3,-16,-22,-4.2
Волочанка,Красноярский край,-31.1,-30.5,-24,-15.3,-5.4,6.2,12.9,9.8,2.4,-11.4,-23.6,-27.6,-11.5
Диксон,Красноярский край,-25.3,-25.3,-22.2,-16.8,-8,0.4,4.8,5,1.7,-7.6,-17.6,-22.1,-11.1
Дудинка,Красноярский край,-28.1,-27.3,-21.6,-14.9,-5.4,6.1,13.7,10.8,3.9,-8.3,-20.5,-24.7,-9.7
Енисейск,Красноярский край,-21.4,-18.7,-9.1,0.3,7.9,15.8,18.7,14.9,8,-0.1,-10.8,-18.2,-1.1
Игарка,Красноярский край,-28.3,-26.2,-18.1,-10.4,-1.6,9.8,15.5,11.9,5,-6.6,-20.2,-24.8,-7.8
Канск,Красноярский край,-20.3,-18.1,-8.5,1.8,9.3,16.2,18.9,15.6,8.5,0.7,-9.4,-17.5,-0.2
Красноярск,Красноярский край,-16.3,-13.9,-5.9,2.4,9.7,16.4,18.7,15.6,9,1.7,-7.4,-13.6,1.3
Минусинск,Красноярский край,-18.5,-16.1,-6,4.2,11.3,17.8,19.9,16.9,10,2.3,-7.1,-15.2,1.6
Тура,Красноярский край,-35.6,-31.3,-17.8,-6.3,3.5,13.2,16.9,12.7,4.9,-6.8,-24.2,-32.3,-8.6
Туруханск,Красноярский край,-26.6,-23.9,-15.3,-7.3,1,11.6,16.5,12.6,5.6,-5.3,-18.6,-23.4,-6.1
Хатанга,Красноярский край,-32.3,-32.2,-26.2,-17,-6.3,6,12.6,9.3,1.9,-11.8,-25.1,-29.1,-12.5
"Челюскин, мыс",Красноярский край,-28.3,-28.8,-27,-20.3,-10.2,-1.4,1.3,0.9,-2.3,-11.8,-21.2,-25.6,-14.6
Ярцево,Красноярский край,-23.2,-20.8,-11.3,-2.4,5.7,14.7,18.5,14.3,7.3,-1.7,-13.2,-20.3,-2.7
Ай-Петри,Республика Крым,-3.2,-2.5,0.2,5.2,10.1,13.5,15.8,15.9,11.5,6.9,2.9,-1.1,6.4
Керчь,Республика Крым,0.1,0.5,3.9,10,15.8,20.5,23.5,23.1,18,12,6.7,2.7,11.4
